function,n,seed,talib_sec_best,numbatalib_sec_best,ratio_numbatalib_over_talib
ACOS,30000,123,0.0005862999823875725,0.00060450000455603,1.0310421673463848
AD,30000,123,2.7999980375170708e-05,3.279995871707797e-05,1.1714279180768175
ADD,30000,123,9.800016414374113e-06,5.500041879713535e-06,0.5612278232153145
ADOSC,30000,123,4.899996565654874e-05,5.470000905916095e-05,1.1163274979122442
ADX,30000,123,0.00021379999816417694,0.00023419997887685895,1.0954161875016335
ADXR,30000,123,0.00021930004004389048,0.00025759998243302107,1.1746463082335292
APO,30000,123,6.140000186860561e-05,8.38999985717237e-05,1.3664494465532344
AROON,30000,123,0.00022050004918128252,0.00033519999124109745,1.5201810271049654
AROONOSC,30000,123,0.00021000002743676305,0.0003250999725423753,1.548094905084106
ASIN,30000,123,0.0005429000011645257,0.0005571999936364591,1.0263400118645418
ATAN,30000,123,0.00031640002271160483,0.0003271999885328114,1.0341338971111598
ATR,30000,123,0.00014670001110062003,0.00013459997717291117,0.9175185207081574
AVGPRICE,30000,123,1.6000005416572094e-05,1.1700030881911516e-05,0.7312516825646287
BBANDS,30000,123,0.00011379999341443181,0.0001656000385992229,1.4551849576664557
BETA,30000,123,0.0003648999845609069,0.0001382000045850873,0.37873392828828634
BOP,30000,123,2.7999980375170708e-05,2.010003663599491e-05,0.7178589544233696
CCI,30000,123,0.00030559999868273735,0.0005772000295110047,1.8887435602060734
CDL2CROWS,30000,123,0.00021189998369663954,0.00021919998107478023,1.0344502026417874
CDL3BLACKCROWS,30000,123,0.00017399998614564538,0.00020030001178383827,1.1511495846682347
CDL3INSIDE,30000,123,0.00029880000511184335,0.00020460004452615976,0.6847390931254377
CDL3LINESTRIKE,30000,123,0.0001604999997653067,0.00022709998302161694,1.4149531673127536
CDL3OUTSIDE,30000,123,0.00014400004874914885,0.00015000003622844815,1.041666565611734
CDL3STARSINSOUTH,30000,123,0.00020269997185096145,0.0002142000012099743,1.056734242506301
CDL3WHITESOLDIERS,30000,123,0.0003622000222094357,0.00025479996111243963,0.7034785905261653
CDLABANDONEDBABY,30000,123,0.000311699986923486,0.00023170001804828644,0.7433430470600648
CDLADVANCEBLOCK,30000,123,0.00043780001578852534,0.0004640999832190573,1.0600730161764906
CDLBELTHOLD,30000,123,0.0003396000247448683,0.00026999996043741703,0.795052829104651
CDLBREAKAWAY,30000,123,0.0002998000127263367,0.0002701000194065273,0.900933982458099
CDLCLOSINGMARUBOZU,30000,123,0.0003505999920889735,0.0002666999935172498,0.7606959484744313
CDLCONCEALBABYSWALL,30000,123,0.00014139997074380517,0.00019079999765381217,1.3493637703752583
CDLCOUNTERATTACK,30000,123,0.00028520001797005534,0.0002834000042639673,0.9936885918910529
CDLDARKCLOUDCOVER,30000,123,0.00021199998445808887,0.00020420004148036242,0.9632078134455313
CDLDOJI,30000,123,5.4299947805702686e-05,4.47999918833375e-05,0.8250466840896763
CDLDOJISTAR,30000,123,0.00028330000350251794,0.0002202000468969345,0.777268069800703
CDLDRAGONFLYDOJI,30000,123,0.00015570002142339945,9.739998495206237e-05,0.6255617954425314
CDLENGULFING,30000,123,0.00013550004223361611,0.00016409996896982193,1.2110695042212354
CDLEVENINGDOJISTAR,30000,123,0.0003361999988555908,0.0002538000117056072,0.7549078303674319
CDLEVENINGSTAR,30000,123,0.0003098000306636095,0.0002541000139899552,0.8202065488685018
CDLGAPSIDESIDEWHITE,30000,123,5.979998968541622e-05,6.929994560778141e-05,1.1588621665712762
CDLGRAVESTONEDOJI,30000,123,0.00014749995898455381,9.849999332800508e-05,0.6677967506304188
CDLHAMMER,30000,123,0.0004004999645985663,0.000305499997921288,0.7627965666051938
CDLHANGINGMAN,30000,123,0.0003952999832108617,0.00029669998912140727,0.7505691923167651
CDLHARAMI,30000,123,0.00029399996856227517,0.00021979998564347625,0.7476190787310174
CDLHARAMICROSS,30000,123,0.0002941000275313854,0.00021490000654011965,0.730703796065392
CDLHIGHWAVE,30000,123,0.0003066000062972307,0.0002342999796383083,0.7641877848207485
CDLHIKKAKE,30000,123,0.0001430999836884439,0.0001922999508678913,1.3438153234633847
CDLHIKKAKEMOD,30000,123,0.00015440001152455807,0.00016220001270994544,1.0505181386216849
CDLHOMINGPIGEON,30000,123,0.0001908999984152615,0.00019049999536946416,0.9979046461544372
CDLIDENTICAL3CROWS,30000,123,0.00021949998335912824,0.00021919998107478023,0.9986332468925195
