function,n,seed,ok,error,kwargs
ACCBANDS,2,2393202587,True,,{'timeperiod': 2}
ACCBANDS,3,3016062731,True,,{'timeperiod': 2}
ACCBANDS,7,1178980555,True,,{'timeperiod': 3}
ACCBANDS,30000,4259153472,True,,{'timeperiod': 2}
ACCBANDS,2,684872975,True,,{'timeperiod': 2}
ACCBANDS,3,364019103,True,,{'timeperiod': 2}
ACCBANDS,7,3761429599,True,,{'timeperiod': 2}
ACCBANDS,30000,1012095616,True,,{'timeperiod': 3}
ACCBANDS,2,423251588,True,,{'timeperiod': 2}
ACCBANDS,3,609904692,True,,{'timeperiod': 3}
ACCBANDS,7,3520774644,True,,{'timeperiod': 4}
ACCBANDS,30000,2779855999,True,,{'timeperiod': 4}
ACCBANDS,2,3209512504,True,,{'timeperiod': 2}
ACCBANDS,3,2184014984,True,,{'timeperiod': 2}
ACCBANDS,7,2007878472,True,,{'timeperiod': 4}
ACCBANDS,30000,1681908799,True,,{'timeperiod': 3}
ACCBANDS,2,2062187438,True,,{'timeperiod': 2}
ACCBANDS,3,1200247550,True,,{'timeperiod': 3}
ACCBANDS,7,2987062462,True,,{'timeperiod': 4}
ACCBANDS,30000,1292170946,True,,{'timeperiod': 3}
ACCBANDS,2,3701305602,True,,{'timeperiod': 2}
ACCBANDS,3,3791477170,True,,{'timeperiod': 3}
ACCBANDS,7,343801970,True,,{'timeperiod': 2}
ACCBANDS,30000,2357864962,True,,{'timeperiod': 2}
ACCBANDS,2,3983895189,True,,{'timeperiod': 2}
ACCBANDS,3,3491054629,True,,{'timeperiod': 3}
ACCBANDS,7,630580709,True,,{'timeperiod': 4}
ACCBANDS,30000,359157761,True,,{'timeperiod': 2}
ACCBANDS,2,1258447401,True,,{'timeperiod': 2}
ACCBANDS,3,1986152601,True,,{'timeperiod': 3}
ACCBANDS,7,2212687705,True,,{'timeperiod': 2}
ACCBANDS,30000,3571880129,True,,{'timeperiod': 2}
ACCBANDS,2,3175748034,True,,{'timeperiod': 2}
ACCBANDS,3,2150250866,True,,{'timeperiod': 3}
ACCBANDS,7,1974116018,True,,{'timeperiod': 2}
ACCBANDS,30000,1193174267,True,,{'timeperiod': 4}
ACCBANDS,2,456989550,True,,{'timeperiod': 2}
ACCBANDS,3,643642302,True,,{'timeperiod': 3}
ACCBANDS,7,3554514430,True,,{'timeperiod': 2}
ACCBANDS,30000,2257632187,True,,{'timeperiod': 4}
AVGDEV,2,3575824548,True,,{'timeperiod': 2}
AVGDEV,3,3896699412,True,,{'timeperiod': 3}
AVGDEV,7,499273684,True,,{'timeperiod': 3}
AVGDEV,30000,4276204525,True,,{'timeperiod': 3}
AVGDEV,2,1935002648,True,,{'timeperiod': 2}
AVGDEV,3,1312154280,True,,{'timeperiod': 3}
AVGDEV,7,3149219176,True,,{'timeperiod': 4}
AVGDEV,30000,1064267053,True,,{'timeperiod': 4}
AVGDEV,2,1119736187,True,,{'timeperiod': 2}
AVGDEV,3,2145253675,True,,{'timeperiod': 3}
AVGDEV,7,2321374955,True,,{'timeperiod': 2}
AVGDEV,30000,2794261294,True,,{'timeperiod': 2}
AVGDEV,2,3838499631,True,,{'timeperiod': 2}
AVGDEV,3,3651859327,True,,{'timeperiod': 2}
AVGDEV,7,740972095,True,,{'timeperiod': 2}
AVGDEV,30000,1728304622,True,,{'timeperiod': 4}
AVGDEV,2,560850101,True,,{'timeperiod': 2}
AVGDEV,3,470666757,True,,{'timeperiod': 2}
AVGDEV,7,3918359493,True,,{'timeperiod': 3}
AVGDEV,30000,1312342379,True,,{'timeperiod': 3}
AVGDEV,2,2266689545,True,,{'timeperiod': 2}
AVGDEV,3,3128608441,True,,{'timeperiod': 2}
AVGDEV,7,1341809017,True,,{'timeperiod': 4}
AVGDEV,30000,2411077547,True,,{'timeperiod': 2}
AVGDEV,2,3069375886,True,,{'timeperiod': 2}
AVGDEV,3,2341657886,True,,{'timeperiod': 2}
AVGDEV,7,2115140318,True,,{'timeperiod': 3}
AVGDEV,30000,374634924,True,,{'timeperiod': 2}
AVGDEV,2,277217058,True,,{'timeperiod': 2}
AVGDEV,3,770037650,True,,{'timeperiod': 3}
AVGDEV,7,3630527058,True,,{'timeperiod': 3}
AVGDEV,30000,3621431148,True,,{'timeperiod': 3}
AVGDEV,2,3872231113,True,,{'timeperiod': 2}
AVGDEV,3,3685591161,True,,{'timeperiod': 2}
AVGDEV,7,774701497,True,,{'timeperiod': 4}
AVGDEV,30000,1143100082,True,,{'timeperiod': 3}
AVGDEV,2,1085965941,True,,{'timeperiod': 2}
AVGDEV,3,2111483077,True,,{'timeperiod': 3}
AVGDEV,7,2287602437,True,,{'timeperiod': 3}
AVGDEV,30000,2242678386,True,,{'timeperiod': 2}
IMI,2,4110821504,True,,{'timeperiod': 2}
IMI,3,3362128432,True,,{'timeperiod': 3}
IMI,7,1038526448,True,,{'timeperiod': 3}
IMI,30000,2037572605,True,,{'timeperiod': 4}
IMI,2,1399923756,True,,{'timeperiod': 2}
IMI,3,1846610556,True,,{'timeperiod': 2}
IMI,7,2610015548,True,,{'timeperiod': 4}
IMI,30000,3103538365,True,,{'timeperiod': 2}
IMI,2,1654208935,True,,{'timeperiod': 2}
IMI,3,1610158359,True,,{'timeperiod': 3}
IMI,7,2860103383,True,,{'timeperiod': 4}
IMI,30000,555637438,True,,{'timeperiod': 3}
IMI,2,3303944979,True,,{'timeperiod': 2}
IMI,3,4186839971,True,,{'timeperiod': 2}
IMI,7,202292835,True,,{'timeperiod': 3}
IMI,30000,3767567870,True,,{'timeperiod': 3}
IMI,2,21564561,True,,{'timeperiod': 2}
IMI,3,1009329697,True,,{'timeperiod': 2}
IMI,7,3383329761,True,,{'timeperiod': 2}
IMI,30000,3383464059,True,,{'timeperiod': 3}
IMI,2,2805860381,True,,{'timeperiod': 2}
IMI,3,2589863565,True,,{'timeperiod': 3}
IMI,7,1876855117,True,,{'timeperiod': 3}
IMI,30000,136663099,True,,{'timeperiod': 4}
IMI,2,2530614714,True,,{'timeperiod': 2}
IMI,3,2880845066,True,,{'timeperiod': 3}
IMI,7,1580634826,True,,{'timeperiod': 2}
IMI,30000,2445748796,True,,{'timeperiod': 4}
IMI,2,815863558,True,,{'timeperiod': 2}
IMI,3,230768566,True,,{'timeperiod': 2}
IMI,7,4165048950,True,,{'timeperiod': 2}
IMI,30000,1347024508,True,,{'timeperiod': 4}
IMI,2,3337184989,True,,{'timeperiod': 2}
IMI,3,4220080205,True,,{'timeperiod': 3}
IMI,7,235530637,True,,{'timeperiod': 2}
IMI,30000,3283157826,True,,{'timeperiod': 3}
IMI,2,1620995665,True,,{'timeperiod': 2}
IMI,3,1576944865,True,,{'timeperiod': 2}
IMI,7,2826887969,True,,{'timeperiod': 4}
IMI,30000,37739906,True,,{'timeperiod': 4}
