name,group_id,group_name,upstream_c_file,inputs,outputs,opt_inputs,lookback_args,status,parity,speed_ratio_vs_talib,notes
ACCBANDS,2,Overlap Studies,src\ta_func\ta_ACCBANDS.c,"inHigh,inLow,inClose","outRealUpperBand,outRealMiddleBand,outRealLowerBand","optInTimePeriod:int[2,100000]","optInTimePeriod:int[2,100000]",IMPLEMENTED,PASS,0.830858,ref=upstream_c(v0.6.4)
ACOS,1,Math Transform,src\ta_func\ta_ACOS.c,inReal,outReal,,,IMPLEMENTED,PASS,1.031042,
AD,6,Volume Indicators,src\ta_func\ta_AD.c,"inHigh,inLow,inClose,inVolume",outReal,,,IMPLEMENTED,PASS,1.171428,
ADD,0,Math Operators,src\ta_func\ta_ADD.c,"inReal0,inReal1",outReal,,,IMPLEMENTED,PASS,0.561228,
ADOSC,6,Volume Indicators,src\ta_func\ta_ADOSC.c,"inHigh,inLow,inClose,inVolume",outReal,"optInFastPeriod:int[2,100000] | optInSlowPeriod:int[2,100000]","optInFastPeriod:int[2,100000] | optInSlowPeriod:int[2,100000]",IMPLEMENTED,PASS,1.116327,
ADX,4,Momentum Indicators,src\ta_func\ta_ADX.c,"inHigh,inLow,inClose",outReal,"optInTimePeriod:int[2,100000]","optInTimePeriod:int[2,100000]",IMPLEMENTED,PASS,1.095416,
ADXR,4,Momentum Indicators,src\ta_func\ta_ADXR.c,"inHigh,inLow,inClose",outReal,"optInTimePeriod:int[2,100000]","optInTimePeriod:int[2,100000]",IMPLEMENTED,PASS,1.174646,
APO,4,Momentum Indicators,src\ta_func\ta_APO.c,inReal,outReal,"optInFastPeriod:int[2,100000] | optInSlowPeriod:int[2,100000] | optInMAType:TA_MAType","optInFastPeriod:int[2,100000] | optInSlowPeriod:int[2,100000] | optInMAType:TA_MAType",IMPLEMENTED,PASS,1.366449,
AROON,4,Momentum Indicators,src\ta_func\ta_AROON.c,"inHigh,inLow","outAroonDown,outAroonUp","optInTimePeriod:int[2,100000]","optInTimePeriod:int[2,100000]",IMPLEMENTED,PASS,1.520181,
AROONOSC,4,Momentum Indicators,src\ta_func\ta_AROONOSC.c,"inHigh,inLow",outReal,"optInTimePeriod:int[2,100000]","optInTimePeriod:int[2,100000]",IMPLEMENTED,PASS,1.548095,
ASIN,1,Math Transform,src\ta_func\ta_ASIN.c,inReal,outReal,,,IMPLEMENTED,PASS,1.026340,
ATAN,1,Math Transform,src\ta_func\ta_ATAN.c,inReal,outReal,,,IMPLEMENTED,PASS,1.034134,
ATR,3,Volatility Indicators,src\ta_func\ta_ATR.c,"inHigh,inLow,inClose",outReal,"optInTimePeriod:int[1,100000]","optInTimePeriod:int[1,100000]",IMPLEMENTED,PASS,0.917519,
AVGDEV,9,Price Transform,src\ta_func\ta_AVGDEV.c,inReal,outReal,"optInTimePeriod:int[2,100000]","optInTimePeriod:int[2,100000]",IMPLEMENTED,PASS,1.456044,ref=upstream_c(v0.6.4)
AVGPRICE,9,Price Transform,src\ta_func\ta_AVGPRICE.c,"inOpen,inHigh,inLow,inClose",outReal,,,IMPLEMENTED,PASS,0.731252,
BBANDS,2,Overlap Studies,src\ta_func\ta_BBANDS.c,inReal,"outRealUpperBand,outRealMiddleBand,outRealLowerBand","optInTimePeriod:int[2,100000] | optInNbDevUp:double[TA_REAL_MIN,TA_REAL_MAX] | optInNbDevDn:double[TA_REAL_MIN,TA_REAL_MAX] | optInMAType:TA_MAType","optInTimePeriod:int[2,100000] | optInNbDevUp:double[TA_REAL_MIN,TA_REAL_MAX] | optInNbDevDn:double[TA_REAL_MIN,TA_REAL_MAX] | optInMAType:TA_MAType",IMPLEMENTED,PASS,1.455185,
BETA,8,Statistic Functions,src\ta_func\ta_BETA.c,"inReal0,inReal1",outReal,"optInTimePeriod:int[1,100000]","optInTimePeriod:int[1,100000]",IMPLEMENTED,PASS,0.378734,
BOP,4,Momentum Indicators,src\ta_func\ta_BOP.c,"inOpen,inHigh,inLow,inClose",outReal,,,IMPLEMENTED,PASS,0.717859,
CCI,4,Momentum Indicators,src\ta_func\ta_CCI.c,"inHigh,inLow,inClose",outReal,"optInTimePeriod:int[2,100000]","optInTimePeriod:int[2,100000]",IMPLEMENTED,PASS,1.888744,
CDL2CROWS,7,Pattern Recognition,src\ta_func\ta_CDL2CROWS.c,"inOpen,inHigh,inLow,inClose",outInteger,,,IMPLEMENTED,PASS,1.034450,
CDL3BLACKCROWS,7,Pattern Recognition,src\ta_func\ta_CDL3BLACKCROWS.c,"inOpen,inHigh,inLow,inClose",outInteger,,,IMPLEMENTED,PASS,1.151150,
CDL3INSIDE,7,Pattern Recognition,src\ta_func\ta_CDL3INSIDE.c,"inOpen,inHigh,inLow,inClose",outInteger,,,IMPLEMENTED,PASS,0.684739,
CDL3LINESTRIKE,7,Pattern Recognition,src\ta_func\ta_CDL3LINESTRIKE.c,"inOpen,inHigh,inLow,inClose",outInteger,,,IMPLEMENTED,PASS,1.414953,
CDL3OUTSIDE,7,Pattern Recognition,src\ta_func\ta_CDL3OUTSIDE.c,"inOpen,inHigh,inLow,inClose",outInteger,,,IMPLEMENTED,PASS,1.041667,
CDL3STARSINSOUTH,7,Pattern Recognition,src\ta_func\ta_CDL3STARSINSOUTH.c,"inOpen,inHigh,inLow,inClose",outInteger,,,IMPLEMENTED,PASS,1.056734,
CDL3WHITESOLDIERS,7,Pattern Recognition,src\ta_func\ta_CDL3WHITESOLDIERS.c,"inOpen,inHigh,inLow,inClose",outInteger,,,IMPLEMENTED,PASS,0.703479,
CDLABANDONEDBABY,7,Pattern Recognition,src\ta_func\ta_CDLABANDONEDBABY.c,"inOpen,inHigh,inLow,inClose",outInteger,"optInPenetration:double[0,TA_REAL_MAX]","optInPenetration:double[0,TA_REAL_MAX]",IMPLEMENTED,PASS,0.743343,
CDLADVANCEBLOCK,7,Pattern Recognition,src\ta_func\ta_CDLADVANCEBLOCK.c,"inOpen,inHigh,inLow,inClose",outInteger,,,IMPLEMENTED,PASS,1.060073,
CDLBELTHOLD,7,Pattern Recognition,src\ta_func\ta_CDLBELTHOLD.c,"inOpen,inHigh,inLow,inClose",outInteger,,,IMPLEMENTED,PASS,0.795053,
CDLBREAKAWAY,7,Pattern Recognition,src\ta_func\ta_CDLBREAKAWAY.c,"inOpen,inHigh,inLow,inClose",outInteger,,,IMPLEMENTED,PASS,0.900934,
CDLCLOSINGMARUBOZU,7,Pattern Recognition,src\ta_func\ta_CDLCLOSINGMARUBOZU.c,"inOpen,inHigh,inLow,inClose",outInteger,,,IMPLEMENTED,PASS,0.760696,
CDLCONCEALBABYSWALL,7,Pattern Recognition,src\ta_func\ta_CDLCONCEALBABYSWALL.c,"inOpen,inHigh,inLow,inClose",outInteger,,,IMPLEMENTED,PASS,1.349364,
CDLCOUNTERATTACK,7,Pattern Recognition,src\ta_func\ta_CDLCOUNTERATTACK.c,"inOpen,inHigh,inLow,inClose",outInteger,,,IMPLEMENTED,PASS,0.993689,
CDLDARKCLOUDCOVER,7,Pattern Recognition,src\ta_func\ta_CDLDARKCLOUDCOVER.c,"inOpen,inHigh,inLow,inClose",outInteger,"optInPenetration:double[0,TA_REAL_MAX]","optInPenetration:double[0,TA_REAL_MAX]",IMPLEMENTED,PASS,0.963208,
CDLDOJI,7,Pattern Recognition,src\ta_func\ta_CDLDOJI.c,"inOpen,inHigh,inLow,inClose",outInteger,,,IMPLEMENTED,PASS,0.825047,
CDLDOJISTAR,7,Pattern Recognition,src\ta_func\ta_CDLDOJISTAR.c,"inOpen,inHigh,inLow,inClose",outInteger,,,IMPLEMENTED,PASS,0.777268,
CDLDRAGONFLYDOJI,7,Pattern Recognition,src\ta_func\ta_CDLDRAGONFLYDOJI.c,"inOpen,inHigh,inLow,inClose",outInteger,,,IMPLEMENTED,PASS,0.625562,
CDLENGULFING,7,Pattern Recognition,src\ta_func\ta_CDLENGULFING.c,"inOpen,inHigh,inLow,inClose",outInteger,,,IMPLEMENTED,PASS,1.211070,
CDLEVENINGDOJISTAR,7,Pattern Recognition,src\ta_func\ta_CDLEVENINGDOJISTAR.c,"inOpen,inHigh,inLow,inClose",outInteger,"optInPenetration:double[0,TA_REAL_MAX]","optInPenetration:double[0,TA_REAL_MAX]",IMPLEMENTED,PASS,0.754908,
CDLEVENINGSTAR,7,Pattern Recognition,src\ta_func\ta_CDLEVENINGSTAR.c,"inOpen,inHigh,inLow,inClose",outInteger,"optInPenetration:double[0,TA_REAL_MAX]","optInPenetration:double[0,TA_REAL_MAX]",IMPLEMENTED,PASS,0.820207,
CDLGAPSIDESIDEWHITE,7,Pattern Recognition,src\ta_func\ta_CDLGAPSIDESIDEWHITE.c,"inOpen,inHigh,inLow,inClose",outInteger,,,IMPLEMENTED,PASS,1.158862,
CDLGRAVESTONEDOJI,7,Pattern Recognition,src\ta_func\ta_CDLGRAVESTONEDOJI.c,"inOpen,inHigh,inLow,inClose",outInteger,,,IMPLEMENTED,PASS,0.667797,
CDLHAMMER,7,Pattern Recognition,src\ta_func\ta_CDLHAMMER.c,"inOpen,inHigh,inLow,inClose",outInteger,,,IMPLEMENTED,PASS,0.762797,
CDLHANGINGMAN,7,Pattern Recognition,src\ta_func\ta_CDLHANGINGMAN.c,"inOpen,inHigh,inLow,inClose",outInteger,,,IMPLEMENTED,PASS,0.750569,
CDLHARAMI,7,Pattern Recognition,src\ta_func\ta_CDLHARAMI.c,"inOpen,inHigh,inLow,inClose",outInteger,,,IMPLEMENTED,PASS,0.747619,
CDLHARAMICROSS,7,Pattern Recognition,src\ta_func\ta_CDLHARAMICROSS.c,"inOpen,inHigh,inLow,inClose",outInteger,,,IMPLEMENTED,PASS,0.730704,
CDLHIGHWAVE,7,Pattern Recognition,src\ta_func\ta_CDLHIGHWAVE.c,"inOpen,inHigh,inLow,inClose",outInteger,,,IMPLEMENTED,PASS,0.764188,
